event_index,event_initiation,current_T (°C),past_24hr_T (°C),CEI_raw,CEI,D_norm,NAC_norm,duration (hh:mm),cause_code,gen_rating_group (MW),gen_unit_type,gen_fuel,gen_state
114,2021-02-01 18:00:00,-9.0,"[-13.0, -12.0, -13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0, -24.0, -23.0, -24.0, -23.0, -20.0, -17.0, -15.0, -12.0, -11.0]",321.2202449389275,1.4944377754718912,0.7,0.56,01:14,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
115,2021-01-21 11:00:00,-13.0,"[-7.0, -7.0, -8.0, -8.0, -8.0, -8.0, -8.0, -9.0, -9.0, -10.0, -11.0, -12.0, -13.0, -17.0, -17.0, -19.0, -20.0, -18.0, -17.0, -17.0, -17.0, -15.0, -14.0, -14.0]",236.7276867779687,0.7481689346225816,0.64,0.0,03:37,Other instrument air problems,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
116,2021-02-18 18:00:00,-7.0,"[-9.0, -8.0, -8.0, -8.0, -12.0, -11.0, -11.0, -15.0, -15.0, -13.0, -12.0, -15.0, -16.0, -17.0, -18.0, -19.0, -21.0, -22.0, -20.0, -17.0, -11.0, -9.0, -8.0, -7.0]",235.7201933719976,0.7392703883765905,0.7,0.0,00:37,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
117,2022-01-17 02:00:00,-15.0,"[-24.0, -24.0, -26.0, -25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0]",340.66353034938686,1.666167906283226,0.53,0.91,00:15,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
118,2022-01-17 04:00:00,-14.0,"[-26.0, -25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0]",327.00175164131133,1.545502134263481,0.53,0.8,00:38,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
119,2022-01-17 03:00:00,-15.0,"[-24.0, -26.0, -25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0]",334.23623151280026,1.6093996777318518,0.52,0.86,01:48,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
120,2022-01-16 09:00:00,-27.0,"[-24.0, -25.0, -26.0, -26.0, -25.0, -24.0, -23.0, -23.0, -22.0, -21.0, -20.0, -20.0, -21.0, -22.0, -23.0, -23.0, -23.0, -24.0, -24.0, -26.0, -25.0, -26.0, -26.0, -27.0]",426.3594965495765,2.423065682296206,0.64,0.0,03:49,Operator error,>200,CC GT units ,Gas,NY
121,2022-01-17 03:00:00,-15.0,"[-24.0, -26.0, -25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0]",334.23623151280026,1.6093996777318518,0.52,0.88,01:48,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
122,2022-01-17 11:00:00,-10.0,"[-27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -14.0, -14.0, -14.0, -13.0, -13.0, -12.0, -12.0]",265.99717673547167,1.0066876588541924,0.65,0.45,01:34,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
123,2022-01-19 00:00:00,-23.0,"[-7.0, -8.0, -8.0, -7.0, -7.0, -8.0, -9.0, -9.0, -9.0, -9.0, -10.0, -12.0, -13.0, -14.0, -13.0, -13.0, -13.0, -14.0, -14.0, -14.0, -14.0, -15.0, -16.0, -21.0]",228.0102636468439,0.6711734997954768,0.56,0.85,01:02,Operator error,>200,CC GT units ,Gas,NY
124,2022-01-17 05:00:00,-14.0,"[-25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -14.0]",319.0503567554583,1.4752725380273655,0.54,0.69,01:38,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
125,2022-01-17 04:00:00,-14.0,"[-26.0, -25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0]",327.00175164131133,1.545502134263481,0.53,0.81,00:38,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
126,2022-01-17 07:00:00,-13.0,"[-26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -14.0, -14.0, -14.0]",303.30900173217856,1.336239195656055,0.58,0.0,04:16,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
127,2022-01-17 02:00:00,-15.0,"[-24.0, -24.0, -26.0, -25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0]",340.66353034938686,1.666167906283226,0.53,0.93,00:15,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
