beta1,beta2,mean,lower_95,upper_95
0.39796610169491525,-1.112078667351473,0.00018443886074237525,7.428828157571843e-05,0.0003583816214813852
0.4059322033898305,-1.112078667351473,0.00019179114315193146,7.909424512035912e-05,0.00036879317922284833
0.4138983050847458,-1.112078667351473,0.00019946599786635488,8.36550894746324e-05,0.0003778929705731571
0.421864406779661,-1.112078667351473,0.00020747864618897438,8.888342417776585e-05,0.00038992029658402316
0.42983050847457627,-1.112078667351473,0.00021584502246696502,9.3656736498815e-05,0.0004008656171208713
0.43779661016949156,-1.112078667351473,0.00022458196326624602,9.850645983533468e-05,0.00041391693448531445
0.4457627118644068,-1.112078667351473,0.00023370700364466757,0.0001038616972437012,0.0004243455594405533
0.45372881355932204,-1.112078667351473,0.00024323871184606105,0.00010986334364133654,0.0004382919221825433
0.4616949152542373,-1.112078667351473,0.0002531965437810868,0.00011537750942807179,0.0004522361152339727
0.4696610169491525,-1.112078667351473,0.00026360087213106453,0.0001218023659021128,0.0004675371659686789
0.4776271186440678,-1.112078667351473,0.00027447319007478654,0.00012724693442578427,0.000482129574083956
0.48559322033898306,-1.112078667351473,0.0002858361112885177,0.0001337544443231309,0.0004973408780642785
0.4935593220338983,-1.112078667351473,0.000297713209874928,0.00014059805471333675,0.0005134907129104249
0.5015254237288136,-1.112078667351473,0.0003101295151282102,0.00014839621726423503,0.0005322166442056187
0.5094915254237288,-1.112078667351473,0.0003231112495996058,0.00015629453337169253,0.0005537815755815245
0.5174576271186441,-1.112078667351473,0.00033668591640889645,0.0001653424562391592,0.0005765876252553427
0.5254237288135593,-1.112078667351473,0.0003508825320750475,0.00017240057022718246,0.000598966030520387
0.5333898305084745,-1.112078667351473,0.0003657315392047167,0.0001813758815842448,0.0006264356066822075
0.5413559322033898,-1.112078667351473,0.0003812649520114064,0.0001900872553960653,0.0006507321857498027
0.5493220338983051,-1.112078667351473,0.000397516560042277,0.00019949307607021184,0.0006786211830331013
0.5572881355932203,-1.112078667351473,0.00041452181176282465,0.0002082647628412815,0.000705690562608652
0.5652542372881356,-1.112078667351473,0.00043231796007603407,0.00021697796764783562,0.0007379051734460519
0.5732203389830508,-1.112078667351473,0.0004509443533606827,0.0002260338093037717,0.0007678776411921718
0.5811864406779661,-1.112078667351473,0.00047044228995218873,0.00023570750781800597,0.0008048118877923117
0.5891525423728814,-1.112078667351473,0.0004908553091809154,0.00024754671976552346,0.0008395640485105105
0.5971186440677966,-1.112078667351473,0.0005122291040606797,0.0002575424245151225,0.0008764902086113582
0.6050847457627119,-1.112078667351473,0.000534611928742379,0.00026733805279945957,0.0009175293278531171
0.6130508474576271,-1.112078667351473,0.0005580545403063297,0.0002774586020677816,0.0009586704312823713
0.6210169491525424,-1.112078667351473,0.0005826103733852506,0.0002874591315048747,0.0010108740272698924
0.6289830508474576,-1.112078667351473,0.0006083357729949057,0.0002981649595312774,0.0010632123390678315
0.6369491525423729,-1.112078667351473,0.0006352899363264441,0.00030832878037472254,0.001120706312940456
0.6449152542372881,-1.112078667351473,0.0006635351455770433,0.00031906464573694393,0.001187880549696274
0.6528813559322033,-1.112078667351473,0.0006931372918188572,0.0003310195497761015,0.0012511417764471846
0.6608474576271186,-1.112078667351473,0.0007241657003760338,0.00034282423948752696,0.0013167826546123251
0.6688135593220339,-1.112078667351473,0.0007566931890323758,0.00035569466126617044,0.0013835320656653495
0.6767796610169492,-1.112078667351473,0.0007907968829385936,0.00036623050182242877,0.001463300985051319
0.6847457627118644,-1.112078667351473,0.0008265577489510179,0.0003772618954826612,0.0015501468471484261
0.6927118644067797,-1.112078667351473,0.0008640611195005476,0.00038777500594733283,0.0016471336683025585
0.7006779661016949,-1.112078667351473,0.000903397158253938,0.0003980698216764722,0.001735385259962641
0.7086440677966102,-1.112078667351473,0.0009446606854908168,0.00041143986163660884,0.0018350267288042236
0.7166101694915255,-1.112078667351473,0.0009879517601802945,0.00042218584785587155,0.001933594039292075
0.7245762711864406,-1.112078667351473,0.0010333758546039462,0.00043509303213795647,0.002049150707898662
0.7325423728813559,-1.112078667351473,0.0010810443200170994,0.0004479932576941792,0.0021715745388064538
0.7405084745762711,-1.112078667351473,0.00113107415381819,0.0004594125486619305,0.0023011854791548103
0.7484745762711864,-1.112078667351473,0.0011835894547402859,0.00047126684366958214,0.0024224760010838524
0.7564406779661017,-1.112078667351473,0.0012387201422825456,0.0004835541432839818,0.002577257243683562
0.764406779661017,-1.112078667351473,0.001296604168601334,0.0004982192040188238,0.0027289489982649687
0.7723728813559322,-1.112078667351473,0.0013573863543570042,0.000511964711768087,0.00288609847193584
0.7803389830508474,-1.112078667351473,0.00142121990211308,0.0005297461015288718,0.0030519719177391396
0.7883050847457627,-1.112078667351473,0.0014882662799209356,0.0005427408221294172,0.003232080850284549
0.796271186440678,-1.112078667351473,0.0015586958033964038,0.0005582908386713825,0.003446753701427952
0.8042372881355933,-1.112078667351473,0.0016326881013810635,0.0005738163192290813,0.0036618342564906934
0.8122033898305084,-1.112078667351473,0.001710432698018849,0.0005904660079977475,0.0039057320915162567
0.8201694915254237,-1.112078667351473,0.0017921297112479806,0.0006050378520740196,0.004161653155460954
0.8281355932203389,-1.112078667351473,0.0018779902020469308,0.0006257140747038647,0.004421369987539948
0.8361016949152542,-1.112078667351473,0.0019682366400957108,0.0006441427642130293,0.004694459342863411
0.8440677966101695,-1.112078667351473,0.0020631044171750546,0.0006620057232794352,0.0049805432907305686
0.8520338983050847,-1.112078667351473,0.002162841148674488,0.0006782689699321054,0.005314303457271309
0.86,-1.112078667351473,0.0022677083034068346,0.0006938715305295773,0.0056552382069639875
0.39,-1.0351851871196482,0.00019389227963984013,7.675432789255865e-05,0.0003808490975643509
0.39796610169491525,-1.0351851871196482,0.00020158119150437415,8.162105350493221e-05,0.0003888358689437155
0.4059322033898305,-1.0351851871196482,0.0002096060197800398,8.660470812174025e-05,0.0004011242504930124
0.4138983050847458,-1.0351851871196482,0.00021798250963911414,9.257756555598462e-05,0.0004108222106879112
0.421864406779661,-1.0351851871196482,0.000226727279368788,9.788883326109499e-05,0.0004220309259835631
0.42983050847457627,-1.0351851871196482,0.00023585764574818313,0.00010388633745606057,0.00043486901995493105
0.43779661016949156,-1.0351851871196482,0.00024539194419048727,0.0001093685768864816,0.00044643295696005235
0.4457627118644068,-1.0351851871196482,0.00025534932501614094,0.00011493225138110574,0.00046138701945892536
0.45372881355932204,-1.0351851871196482,0.0002657499862834811,0.00012140708822698798,0.0004756551519676579
0.4616949152542373,-1.0351851871196482,0.00027661502826958895,0.00012810531079594513,0.0004897690669167787
0.4696610169491525,-1.0351851871196482,0.0002879667154047638,0.00013525421454687602,0.0005063052361947485
0.4776271186440678,-1.0351851871196482,0.0002998284762725234,0.0001412516492564464,0.0005233303163549863
0.48559322033898306,-1.0351851871196482,0.0003122247871942818,0.0001481726187193999,0.0005395511441747658
0.4935593220338983,-1.0351851871196482,0.00032518155057914555,0.00015579123901261483,0.0005551796260988341
0.5015254237288136,-1.0351851871196482,0.000338725745677948,0.00016409803756687325,0.0005753252393333241
0.5094915254237288,-1.0351851871196482,0.0003528860688675195,0.00017332439492747653,0.0005973658175207675
0.5174576271186441,-1.0351851871196482,0.00036769246798940003,0.0001827958087233128,0.000621577081619762
0.5254237288135593,-1.0351851871196482,0.0003831764333881438,0.0001921173261507647,0.0006462860546889715
0.5333898305084745,-1.0351851871196482,0.0003993711434304714,0.00020107959935558028,0.0006734400012646802
