theta_0,sigma
1.5744911,1.2578994
1.3934438,1.3322935
1.4039562,1.3297038
1.7820307,1.5802811
1.618412,1.4231339
1.8058773,1.309299
1.8291328,1.6690105
1.537436,1.4225353
1.6076406,1.3636262
1.306449,1.332987
1.4398603,1.8574164
1.652889,1.6837461
1.7151343,1.318608
1.4756519,1.2887207
1.5828602,1.3054049
1.6344271,1.5109057
1.9168344,1.4922776
1.7430389,1.3195127
1.7798721,1.2747878
1.7798721,1.2747878
1.8010621,1.2246709
1.7663277,1.1367623
1.826092,1.5141544
1.4808296,1.398352
1.4930365,1.5059247
1.4003199,1.4572148
1.5690548,1.3717179
1.567144,1.474993
1.8727473,1.3822418
1.9040724,1.3409544
1.3093951,1.5344862
1.4715579,1.3812755
1.8050551,1.4556649
1.5577728,1.3904016
1.6554166,1.4636695
1.7147329,1.677364
1.4177041,1.3508333
1.7285333,1.3198028
1.4851774,1.3976369
1.4066327,1.3365588
1.4948001,1.3434422
1.9320502,1.4760466
1.7890189,1.3792652
1.5198343,1.6042049
1.2629799,1.4273063
1.4268554,1.7118623
1.5818797,1.3070312
1.5818797,1.3070312
1.591114,1.2927845
1.3823304,1.2177374
1.5530951,1.4373987
1.6338377,1.4161761
1.5358422,1.6392951
1.9885828,1.4529634
1.5585954,1.6404486
1.4013628,1.3456554
1.8813794,1.3282113
1.9492857,1.3044968
1.7151221,1.4906461
1.79243,1.5348295
1.6396762,1.4506335
1.9223071,1.5604557
1.5324366,1.2418767
1.8079063,1.406127
1.5987209,1.2741876
1.473491,1.6502209
1.6208825,1.6013862
1.4176222,1.3897098
1.9869066,1.2545574
1.5686213,1.3527642
1.6381156,1.3608047
1.6629938,1.5579406
2.0096204,1.2815862
2.11965,1.2625349
1.9437172,1.3726834
1.9108471,1.4141911
1.7347064,1.5811005
1.7385772,1.6095814
1.4295655,1.6039361
1.6754136,1.4880795
1.8753124,1.4692749
1.6955795,1.4026803
1.7365783,1.5303526
1.3396581,1.5794702
1.620056,1.580247
1.4833647,1.4406509
1.7877316,1.4606016
1.2831903,1.4335928
1.9231845,1.3093671
1.4995873,1.4902501
2.0736396,1.4884902
1.628959,1.5548443
1.5706986,1.5819358
1.842079,1.5274215
1.462738,1.3314686
1.6050373,1.0486035
1.8949418,1.3549707
1.696098,1.4492278
1.5121738,1.370423
1.6444577,1.2526206
1.7777964,1.2452095
1.4696988,1.6406884
1.5163834,1.6817794
1.7457228,1.2185636
1.5503408,1.7522568
