theta_0,theta_1,sigma
0.39736536,0.45644423,1.1163843
0.4079382,0.94584787,0.96919847
0.36986706,0.1328456,1.1342908
0.7989922,0.53414774,1.1017698
0.539818,0.14002821,1.1295506
-0.047829755,2.0200126,1.0960075
0.60441244,0.15584458,1.1264201
0.3708955,0.39449015,1.0497112
0.2128412,1.3721366,1.1219914
0.2950199,0.7115944,1.0550629
0.34482816,0.84240204,1.0365238
0.081154324,1.2395309,0.9695277
0.3922818,-0.37621775,1.4135189
0.27307135,-0.53943205,1.3878509
0.8238574,0.22996394,1.0522563
0.5878871,-0.05652502,1.0554451
0.6314086,-0.0776816,0.98003083
0.2593086,1.103657,1.2205896
0.20867388,1.1889465,1.0575927
0.25686496,1.5119325,1.0373732
0.17663352,1.1253469,1.0668943
-0.14081252,1.6251633,1.0225062
0.08700649,0.3379725,1.2997401
0.3935741,1.6123346,1.137934
0.19507864,0.55748224,1.0127442
0.737903,-1.0244541,1.2134393
0.935553,-0.5803085,1.2086891
0.8299257,-0.6079086,1.1740122
0.57181746,-0.38236,1.2309157
0.49498096,-0.10041821,1.0880785
0.63919026,0.49282986,1.1838003
0.025781056,2.0573895,1.1091999
0.02949804,1.7235851,1.1334441
0.20869505,1.2773244,1.2021912
0.2771719,1.1339409,0.9569066
0.3289678,0.5386327,1.1068175
0.3303208,0.61648655,1.1784168
0.18832211,0.9390413,1.16992
0.63278866,0.1761626,1.1655631
-0.0023258405,1.8015194,1.1352441
-0.01046092,1.7758261,1.077365
0.6731758,-0.0848226,1.1797496
0.09803259,1.5222249,1.0302815
-0.0721907,0.9121135,1.0562172
0.3357403,1.7911677,1.1671596
-0.23588324,1.4181112,1.1528952
0.49686602,0.6025271,1.0466263
0.22071531,1.0235935,1.142721
0.2699031,1.0746723,1.0631698
0.046786986,1.4532276,1.1873896
-0.11967397,1.1703988,1.2452652
0.104011536,1.5021837,1.2335409
0.07256469,1.4195143,1.1609836
0.03028814,1.3716797,0.95516676
0.22512531,1.1270353,0.935894
0.08838844,1.0992477,0.9240941
0.34937623,0.5598683,0.9601653
0.6616751,-0.6175605,1.2487915
1.1046551,-0.31509313,1.2379647
0.914525,-0.7486085,1.23913
0.7972745,-0.6897867,1.2604489
0.7357948,-0.3207221,1.0126836
0.5323868,0.20553806,1.2649101
0.5323868,0.20553806,1.2649101
0.060927544,1.5760704,0.96653926
0.059396997,1.6172221,1.2636945
-0.03645118,1.8839014,1.2752703
-0.052371122,2.1578658,1.2792848
0.55471987,0.3765355,0.98162585
0.27815476,0.7160527,1.2167474
0.39811835,0.5959041,0.98198646
0.5532059,-0.10803069,1.2490029
-0.07846772,1.6559012,0.9985423
0.11905799,1.4760287,1.291089
0.2453799,1.2937303,1.1996366
0.2010515,1.5403486,1.1317075
0.09613329,0.44061252,1.1384085
