alpha,beta_Dnorm,beta_CEI
-8.682961,4.637524,0.9990977
-8.846353,4.7216187,1.0716848
-9.199125,5.3093314,1.0784235
-9.397776,5.1619687,1.116909
-9.26192,5.1402183,1.0350002
-9.163493,5.2585196,1.0345441
-8.76663,4.3830647,1.1910025
-7.9750996,2.7612805,1.1464739
-8.2521,3.599367,1.1227602
-8.0284,3.1199338,1.283889
-8.02091,2.928928,1.2702419
-9.859247,6.1824102,1.1404297
-9.965231,6.2501087,1.1960802
-10.005466,6.1927705,1.1951978
-9.730455,5.987482,1.1049616
-9.55926,5.093283,1.1670352
-9.448998,5.348147,1.1712223
-9.566705,5.2071123,1.162957
-10.161244,6.657675,1.1845893
-9.429622,4.884009,1.125722
-9.325069,5.1052856,1.1245234
-9.42685,5.3380847,1.1778014
-8.668032,3.969219,1.2699314
-9.656072,5.456029,1.1778758
-9.58173,5.109772,1.2786742
-9.489655,5.1685996,1.2845426
-8.245822,3.3728862,1.1655995
-8.464093,3.9334538,1.1413851
-8.567498,3.7812796,1.1454917
-7.2385316,1.3219811,1.3404611
-8.954872,3.6112576,1.5125704
-9.048874,3.9649537,1.4639225
-9.3683195,4.915008,1.2535547
-10.873569,7.7143745,1.004096
-10.690524,7.067108,1.1481128
-9.453809,4.9310985,1.270367
-9.240451,5.069106,1.2318691
-9.368715,5.3504033,1.1485864
-8.6465025,3.9527667,1.2850773
-8.71726,3.8667028,1.2925923
-8.363693,3.414256,1.2862297
-7.8064017,2.7821333,1.1413378
-8.139551,2.910328,1.3364172
-7.9970274,3.1542873,1.1504996
-7.678397,2.7124069,1.1214134
-7.7903204,2.9096146,1.1045202
-8.01359,2.874646,1.1946802
-8.00529,2.8430948,1.2074106
-7.9793253,2.7980576,1.2027475
-8.459717,3.397699,1.2818329
-9.790859,5.7971005,1.1714742
-9.884969,5.742261,1.2195796
-9.596239,5.770798,1.0970123
-8.38744,3.1325772,1.3873273
-9.4821,5.00632,1.1614673
-9.163282,5.052748,1.1853818
-10.088504,5.9000053,1.1929071
-9.908538,5.865516,1.1503845
-10.127014,6.6089005,1.1285917
-9.412684,5.4706774,1.0950533
-9.982378,6.259434,1.0917478
-9.942987,6.1470814,1.1033541
-9.939416,5.670798,1.2276082
-8.51594,3.9721272,1.2080973
-9.171341,5.0649796,1.1317171
-9.3060255,4.8006887,1.1170226
-7.5311456,1.8877695,1.3954532
-8.629982,3.9031696,1.215839
-8.964024,4.502015,1.1488075
-9.250926,5.152994,1.2106032
-9.367155,4.940981,1.1948721
-9.366536,4.8890676,1.252471
-9.35115,5.1021447,1.1811018
-9.327803,4.9282217,1.2629781
-9.301127,5.281381,1.0810441
-9.731374,5.736818,1.0937604
-9.82541,6.07588,1.1138626
-9.966971,6.4516006,1.098822
-9.957402,6.0086927,1.2300178
-10.399758,7.316866,0.9459815
-10.423294,7.2993784,0.9477821
-10.440221,7.0449595,1.0418608
-10.04445,6.448675,1.0991224
-10.341494,6.633264,1.0666136
-10.395078,6.6877203,1.222335
-8.162346,3.4727247,1.1746117
-9.43844,5.1976705,1.2612163
-9.968192,5.656691,1.261591
-10.63552,7.6513286,0.93590367
-10.706348,7.526504,0.91678905
-10.944243,7.2132835,1.2778333
-10.902082,7.072264,1.2864232
-9.503945,5.730339,1.067871
-9.785547,6.0287657,1.1377927
-10.287843,6.220444,1.2199994
-10.070597,6.214453,1.2466828
-10.090236,6.1298156,1.1843158
-10.0252075,6.234447,1.1945201
-8.058532,2.7848935,1.3890864
-8.737721,4.4013166,0.9901285
-9.054245,5.1173263,1.0119703
-9.880323,5.8313684,1.1301088
-10.6444645,7.107933,1.2140287
-10.698318,6.8213115,1.1957147
-10.719036,7.2585216,1.0894352
-10.881854,7.6293917,1.1087309
-9.2614765,4.948828,1.177995
-8.782475,4.035377,1.2744087
-8.779351,4.1361184,1.2331321
-8.6858835,4.284388,1.2424488
-8.8222,4.212015,1.2167943
-8.850931,4.759842,1.0440706
-8.945816,3.9851193,1.338292
-9.8071995,5.5919247,1.3563033
-10.332408,5.757755,1.4717655
-10.269827,5.792977,1.4969728
-10.178552,5.524968,1.470503
-10.0159025,5.7747917,1.3879789
-8.318509,3.5380147,1.2617383
-9.983026,5.967593,1.1742538
-9.947001,6.137968,1.1648668
-8.917121,4.3702707,1.2584262
-8.125251,3.1307156,1.2534817
-8.618629,4.308123,1.0749642
-8.673016,4.042944,1.0524689
-9.378917,5.4373903,1.0561607
-9.609965,5.4271917,1.1553875
-9.572092,5.4752617,1.1609788
-9.260106,5.291137,1.0763843
-9.21974,5.137832,1.1199112
-9.087981,5.0236597,1.0047612
-9.018182,4.182457,1.3268554
-8.970742,4.229062,1.3334495
-8.970742,4.229062,1.3334495
-10.574402,7.189765,0.9512406
-10.526325,7.29111,0.95127106
-11.294059,8.405148,1.014954
-11.34682,8.293966,1.0205241
-11.292315,8.550584,0.8851569
-11.381878,8.725541,0.9560631
-10.711895,7.5295978,0.9787995
-11.267972,8.202391,1.1056468
-11.347078,8.147532,1.1091936
-10.545514,7.1839714,1.0050408
-9.374145,4.6653514,1.3086796
-9.298262,4.7755127,1.2628952
-8.261924,3.3472059,1.2245541
-8.618016,3.5305798,1.3705101
-8.43582,3.252731,1.3476615
-7.498487,2.3636281,1.1765811
-7.951235,2.8804681,1.3675009
-8.071209,2.9963975,1.1132029
-8.778935,3.5935848,1.4151593
-10.171409,6.956469,0.8460566
-10.198591,6.9801736,0.87679595
-10.306439,6.803266,0.88117516
-10.039744,6.842977,0.9388646
-10.124785,6.3899093,0.9785433
-9.557379,5.1846404,1.249252
-9.705454,5.103577,1.2329873
-9.661457,5.0697665,1.230733
-9.645316,5.1080837,1.2287815
-9.459713,5.173604,1.2344816
-9.6047325,5.2402744,1.3006792
-8.0394,3.140908,1.1719548
-9.495006,5.2774982,1.1450075
-8.878953,4.530878,1.1799527
-10.225464,6.545819,1.184723
-10.900886,7.3418813,1.1256727
-10.331254,6.5785418,1.096231
-10.87526,7.5235825,1.2030718
-10.58259,7.1775947,1.1540786
-8.597564,3.7114396,1.2839702
-8.576202,3.8949978,1.1598524
-8.503112,3.9181285,1.1598551
-8.905103,4.3153725,1.0911403
-8.670213,4.3757005,1.1074723
-9.615088,5.139276,1.3443116
-10.012386,6.1360426,1.0802633
-9.960796,6.406255,1.0911417
-10.147183,6.3294187,1.1458654
-10.442341,6.9442267,1.1907647
-10.769167,7.892902,0.98075116
-10.5909195,6.6827273,1.2190298
-10.429322,6.732162,1.2138131
-10.790429,7.419985,1.1449033
-10.87221,7.1495657,1.1466333
-10.013085,5.959316,1.2288693
-9.654453,5.761981,1.1827049
-9.759349,5.7553234,1.1711483
-9.458022,5.089342,1.211566
-9.313634,5.1152225,1.1426859
-9.26107,4.9849815,1.2139481
-10.022356,6.1630807,1.1883122
-10.04915,6.184001,1.1880438
-8.75602,4.838347,1.0452012
-8.782411,4.647558,1.0395985
-10.13217,5.9999123,1.3084483
-9.833097,5.921917,1.1540232
-9.915971,6.0464306,1.1815013
-9.2511215,4.985701,1.2009236
-8.952147,4.911063,0.9509704
-11.050332,7.6083484,1.1554029
-10.463636,7.2283587,0.96123636
-10.125596,6.2813983,1.1566305
-9.26886,5.1391554,1.1400367
-9.505819,5.927659,1.0167147
-10.130226,6.4886575,1.0051562
